gp1,gp2,gp3,gp4,gp5,gp6,gp7,group
-0.6659803757438243,-0.054824261235145555,0.570780399274047,0.48648648648648646,0.48610121168923714,0.18930164220052273,-0.3451501723289019,4.2268705376774704e-17
-0.6014167682660804,-0.039622163978258185,0.6624319419237747,0.3688063063063065,0.5010691375623664,0.03288301759221938,-0.21516494337764666,2.6350105919615647e-17
-0.49244849626137777,-0.006984137491421266,0.8793103448275864,0.22072072072072094,0.50392017106201,0.25145301590191005,-0.15066469719350079,1.8451103916252594e-17
-0.44035298071553103,-0.014208609705613329,0.7931034482758617,0.23930180180180172,0.5338560228082679,0.19424254638598865,-0.14081733136386,1.7245149411922334e-17
-0.7472842117944509,-0.0193936417785201,0.8647912885662429,0.4273648648648651,0.6642908054169634,0.076701036289641,-0.32299359921221066,3.9555307742031687e-17
-0.5157848004741237,-0.018915396360665165,0.7894736842105262,0.2742117117117118,0.48610121168923714,0.22063737663992516,-0.21516494337764666,2.6350105919615647e-17
-0.5770288096460605,-0.04019543126275371,0.6515426497277677,0.3738738738738738,0.4483250178189592,0.3667841214942335,-0.34465780403742013,4.220840765155823e-17
-0.4816570020124873,-0.020277601175384352,0.7531760435571687,0.29335585585585583,0.47897362794012827,0.2515830396962645,-0.23682914820285572,2.900320582914214e-17
-0.8480246065565592,-0.057104998134606455,0.6043557168784031,0.6497747747747749,0.5951532430506056,0.16576733542238234,-0.6686361398325947,8.188431084402292e-17
-0.8049784685647068,-0.03835715507942716,0.7250453720508166,0.5546171171171174,0.6236635780470419,0.15653564602322226,-0.4992614475627771,6.114189336954291e-17
-0.6674156203108883,-0.05631050049204356,0.5580762250453722,0.4588963963963967,0.4362081254454739,0.4912168926913626,-0.3914327917282127,4.7936691547126827e-17
-0.48483436327444746,-0.034442692017690485,0.6488203266787662,0.30349099099099086,0.40698503207412684,0.12376964984592183,-0.23732151649433791,2.906350355435867e-17
-0.45523125358980854,-0.02281873919772398,0.7250453720508166,0.3040540540540541,0.4055595153243049,0.4187936392359803,-0.10782865583456443,1.3205201822416089e-17
-0.4535003359149815,-0.03597922226407835,0.6152450090744102,0.3265765765765766,0.3749109052031362,0.30827341403476843,-0.17380600689315598,2.1285097001428628e-17
-0.4493480382777055,-0.03711681065763919,0.6016333938294005,0.3282657657657659,0.344975053456878,0.2817485599864776,-0.15066469719350079,1.8451103916252594e-17
-0.5400960410621851,-0.015543975994042003,0.8275862068965515,0.2545045045045045,0.5010691375623664,0.44466837431249917,-0.12900049236829128,1.579800400672605e-17
-0.43475423949112196,0.011979375809485993,1.0,0.12387387387387375,0.5367070563079115,0.5810633345902301,-0.12900049236829128,1.579800400672605e-17
-0.6822714951450278,-0.013241960680629938,0.8865698729582581,0.3536036036036037,0.6300784034212399,0.10842684211210653,-0.25947808961102914,3.1776901189101694e-17
-0.5375212250358203,0.0020752248430060405,0.9727767695099818,0.17229729729729734,0.5958660014255167,0.13027083956364016,-0.06400787789266367,7.83870427814652e-18
-0.31117144576822303,-0.032684931413235446,0.5490018148820328,0.18412162162162163,0.2986457590876692,0.43387639938108685,-0.1944854751354011,2.381760146052211e-17
-0.5281106553621739,-0.06158499431925199,0.45644283121597123,0.4273648648648651,0.35566642908054164,0.29995189119608895,-0.32348596750369285,3.961560546724822e-17
-0.5046209150855121,-0.044057429285753014,0.5816696914700541,0.34966216216216195,0.38346400570206707,0.2500227541640121,-0.34465780403742013,4.220840765155823e-17
-0.716706165734496,-0.0230723681944206,0.8230490018148823,0.40484234234234256,0.6250890947968638,0.0,-0.2816346627277204,3.449029882384472e-17
-0.21890028136465206,-0.024134039086044792,0.5290381125226854,0.11261261261261273,0.21810406272273694,0.08450246395090302,-0.21762678483505674,2.66515945456982e-17
-0.6375168375184863,-0.05933326999532945,0.5226860254083485,0.501126126126126,0.4383464005702067,0.13339141062814497,-0.23732151649433791,2.906350355435867e-17
-0.775079685772305,-0.04137992458271306,0.6969147005444647,0.525900900900901,0.5637918745545257,0.017930281241467193,-0.3879862136878387,4.751460747061127e-17
